Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Hrafn\Project Outputs for Hrafn\Generate Files\Pick Place\Pick Place for Hrafn(PopulatedComponents).txt

========================================================================================================================
File Design Information:

Date:       24/06/21
Time:       13:50
Revision:   2594
Variant:    PopulatedComponents
Units used: mil

Designator Comment                  Layer    Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                  
C43A       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1828.000      3797.000      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C43B       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2885.000      3844.000      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C29        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2639.669      3001.284      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C41A       GRM219R61A226MEA0D       TopLayer CAPC2013X95X45LL15T25     1531.000      2557.000      270      ""                                                                                                                                           
C41B       GRM219R61A226MEA0D       TopLayer CAPC2013X95X45LL15T25     2973.000      2598.000      270      ""                                                                                                                                           
C40A       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1965.000      3664.000      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C40B       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2604.000      3595.000      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C28        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2627.858      3044.590      180      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C27        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2556.102      2578.740      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C39        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2129.921      2405.512      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C38        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2082.677      2446.850      270      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C26        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2119.000      2628.000      90       "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C36        "15 nF"                  TopLayer CAPC1005X55X25NL05T10     890.205       1787.834      90       ""                                                                                                                                           
C35        "3.3 nF"                 TopLayer CAPC1005X56X25ML10T15     837.205       1860.834      0        ""                                                                                                                                           
C34        100pF                    TopLayer CAPC1005X55X25ML05T10     933.055       1914.118      180      ""                                                                                                                                           
C33        "10 nF"                  TopLayer CAPC1005X56X25NL10T15     2358.268      2879.921      180      ""                                                                                                                                           
C32        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1939.000      2209.000      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C30        "10 nF"                  TopLayer CAPC1005X56X25NL10T15     2391.237      3657.023      90       ""                                                                                                                                           
C25        GRT32EC81C476ME13L       TopLayer FP-GRT32E-0_3-IPC_C       1129.000      1928.000      270      "Multi-Layer Ceramic Capacitor 47uF 16V X6S ±20% 1210 Emboss T/R"                                                                            
C24        "0.27 uF"                TopLayer CAPC1005X55X25LL05T10     1135.000      2277.000      180      ""                                                                                                                                           
C23        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2145.891      2304.160      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C19        "10 nF"                  TopLayer CAPC1005X56X25NL10T15     3582.000      1251.000      0        ""                                                                                                                                           
C18        "10 nF"                  TopLayer CAPC1005X56X25NL10T15     3548.000      1321.000      90       ""                                                                                                                                           
C17        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2291.031      2919.291      45       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C16        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2515.000      2579.000      90       "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C15        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1869.000      2076.000      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C14        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2151.000      2062.000      270      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C13        GRT32EC81C476ME13L       TopLayer FP-GRT32E-0_3-IPC_C       2068.000      1939.000      180      "Multi-Layer Ceramic Capacitor 47uF 16V X6S ±20% 1210 Emboss T/R"                                                                            
C12        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1485.658      2234.724      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C11        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1781.000      2096.000      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C9         "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2661.000      2312.000      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C8         "1 uF"                   TopLayer CAPC1005X60X30NL05T10     2397.000      2362.000      180      ""                                                                                                                                           
C7         EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2424.000      2437.000      270      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C6         "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1973.000      2666.000      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C5         "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2885.481      2439.716      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C4         "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2814.615      2439.716      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C3         "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2736.875      2439.716      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C1         GRT32EC81C476ME13L       TopLayer FP-GRT32E-0_3-IPC_C       1894.000      1947.000      90       "Multi-Layer Ceramic Capacitor 47uF 16V X6S ±20% 1210 Emboss T/R"                                                                            
C2         GRT32EC81C476ME13L       TopLayer FP-GRT32E-0_3-IPC_C       859.000       1602.000      90       "Multi-Layer Ceramic Capacitor 47uF 16V X6S ±20% 1210 Emboss T/R"                                                                            
