Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Hrafn\Project Outputs for Hrafn\Generate Files\Pick Place\Pick Place for Hrafn(PopulatedComponents).txt

========================================================================================================================
File Design Information:

Date:       24/06/21
Time:       13:50
Revision:   2594
Variant:    PopulatedComponents
Units used: mil

Designator Comment                  Layer    Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                  
R95A       4.99KO                   TopLayer FP-RT0603-IPC_B           1703.010      3333.061      90       "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R95B       4.99KO                   TopLayer FP-RT0603-IPC_B           3032.000      3310.000      0        "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R94A       4.99KO                   TopLayer FP-RT0603-IPC_B           1888.048      3301.564      180      "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R94B       4.99KO                   TopLayer FP-RT0603-IPC_B           3268.000      3241.000      180      "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R93A       4.99KO                   TopLayer FP-RT0603-IPC_B           1280.000      3352.000      270      "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R93B       4.99KO                   TopLayer FP-RT0603-IPC_B           2627.000      3445.000      0        "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R92A       4.99KO                   TopLayer FP-RT0603-IPC_B           1788.000      3278.000      90       "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R92B       4.99KO                   TopLayer FP-RT0603-IPC_B           3033.000      3387.000      0        "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R91A       4.99KO                   TopLayer FP-RT0603-IPC_B           2014.000      3388.000      90       "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R91B       4.99KO                   TopLayer FP-RT0603-IPC_B           3368.174      3293.260      90       "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R90A       4.99KO                   TopLayer FP-RT0603-MFG             1265.000      3512.000      90       "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R90B       4.99KO                   TopLayer FP-RT0603-MFG             2624.000      3520.000      0        "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R89A       4.99KO                   TopLayer FP-RT0603-IPC_B           1578.000      3469.000      90       "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R89B       4.99KO                   TopLayer FP-RT0603-IPC_B           2942.055      3480.622      90       "RES SMD 4.99K OHM 0.1% 1/10W"                                                                                                               
R88A       249KO                    TopLayer RESC1609X55X30LL10T20     1718.757      3443.297      90       ""                                                                                                                                           
R88B       249KO                    TopLayer RESC1609X55X30LL10T20     3072.165      3457.730      0        ""                                                                                                                                           
R87A       249KO                    TopLayer RESC1609X55X30LL10T20     1881.000      3505.000      0        ""                                                                                                                                           
R87B       249KO                    TopLayer RESC1609X55X30LL10T20     3250.867      3445.480      0        ""                                                                                                                                           
R86A       249KO                    TopLayer RESC1609X55X30LL10T20     1348.678      3549.597      0        ""                                                                                                                                           
R86B       249KO                    TopLayer RESC1609X55X30LL10T20     2713.709      3571.173      0        ""                                                                                                                                           
R85A       0                        TopLayer RESC1608X55X25NL10T15     1979.207      3511.943      0        "Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
R85B       0                        TopLayer RESC1608X55X25NL10T15     3350.000      3432.000      0        "Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
R84A       0                        TopLayer RESC1608X55X25NL10T15     1490.795      3504.772      180      "Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
R84B       0                        TopLayer RESC1608X55X25NL10T15     2855.825      3526.348      180      "Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
R83A       "2 kO 0.1%"              TopLayer RESC1005X40X25LL10T10     1922.000      3719.000      270      ""                                                                                                                                           
R83B       "2 kO 0.1%"              TopLayer RESC1005X40X25LL10T10     2686.000      3627.000      0        ""                                                                                                                                           
R82A       R                        TopLayer RESC1608X08L              1588.648      2633.645      90       "ROHM - ESR03EZPJ121 - RES, AEC-Q200, THICK FILM, 120R, 5%, 0603 ROHS COMPLIANT: YES"                                                        
R82B       R                        TopLayer RESC1608X08L              2921.000      2556.000      90       "ROHM - ESR03EZPJ121 - RES, AEC-Q200, THICK FILM, 120R, 5%, 0603 ROHS COMPLIANT: YES"                                                        
R58        AC0603JR-070RL           TopLayer RESC1608X55X25LL10T15     2440.945      2875.000      270      ""                                                                                                                                           
R81        ERJ2RKF4703X             TopLayer RESC1005X40X25LL05T05     1932.000      2124.000      0        ""                                                                                                                                           
R80        22kO                     TopLayer RESC1005X40X25LL05T05     1936.000      2074.000      0        ""                                                                                                                                           
R79        22kO                     TopLayer RESC1005X40X25LL05T05     1002.937      1872.780      180      ""                                                                                                                                           
R78        "2 kO 0.1%"              TopLayer RESC1005X40X25LL10T10     849.205       1803.834      90       ""                                                                                                                                           
R77        "2 kO 0.1%"              TopLayer RESC1005X40X25LL10T10     2423.000      3594.000      0        ""                                                                                                                                           
R76        20m                      TopLayer RESC1608X55X25LL10T15     2141.914      2181.129      90       ""                                                                                                                                           
R75        CRCW0402100KJNED         TopLayer RESC1005X40X25LL05T05     2182.000      2169.000      90       ""                                                                                                                                           
R74        ERJ-2RKF1000X            TopLayer RESC1005X40X25LL05T05     2078.921      2216.562      180      "Chip Resistor, 100 Ohm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                           
R73        ERJ-2RKF1000X            TopLayer RESC1005X40X25LL05T05     2015.000      2203.000      180      "Chip Resistor, 100 Ohm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                           
R72        "1 KOhm"                 TopLayer RESC1005X40X25NL05T05     815.205       1800.834      270      "Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                            
R71        CRCW040210K0FKEDHP       TopLayer RESC1005X40X25LL05T10     902.307       1854.448      90       ""                                                                                                                                           
R70        "1.74 kO"                TopLayer RESC1005X40X25NL05T10     834.205       1742.834      0        ""                                                                                                                                           
R69        "220 O"                  TopLayer RESC1005X40X25LL05T05     1253.150      2118.897      270      ""                                                                                                                                           
R68        "2 kO 0.1%"              TopLayer RESC1005X40X25LL10T10     3654.000      1255.000      180      ""                                                                                                                                           
R67        4.99K                    TopLayer RESC1005X40X25LL05T05     1945.063      2338.609      90       "Chip Resistor, 4.99 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                         
R66        4.99K                    TopLayer RESC1005X40X25LL05T05     1943.000      2279.000      270      "Chip Resistor, 4.99 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                         
R64        0.5                      TopLayer RESC1005X40X25LL10T10     2556.102      2645.669      90       ""                                                                                                                                           
R65        CRCW0402274KFKED         TopLayer FP-CRCW0402-e3-IPC_A      1495.658      2163.724      0        "RES Thick Film, 274kO, 1%, 0.063W, 100ppm/°C, 0402"                                                                                         
R63        22kO                     TopLayer RESC1005X40X25LL05T05     1505.658      2127.724      0        ""                                                                                                                                           
R62        20m                      TopLayer RESC1608X55X25LL10T15     1721.658      2194.724      270      ""                                                                                                                                           
R60        ERJ-2RKF1000X            TopLayer RESC1005X40X25LL05T05     1720.658      2133.724      0        "Chip Resistor, 100 Ohm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                           
R59        ERJ-2RKF1000X            TopLayer RESC1005X40X25LL05T05     1726.709      2255.751      0        "Chip Resistor, 100 Ohm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                           
R57        4.99K                    TopLayer RESC1005X40X25LL05T05     1851.378      2307.087      90       "Chip Resistor, 4.99 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                         
R56        4.99K                    TopLayer RESC1005X40X25LL05T05     2004.921      2565.945      90       "Chip Resistor, 4.99 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                         
R55        22kO                     TopLayer RESC1005X40X25LL05T05     2722.000      2388.000      0        ""                                                                                                                                           
R54        CRCW040210K0FKEDHP       TopLayer RESC1005X40X25LL05T10     1974.409      2630.906      180      ""                                                                                                                                           
R53        CRCW040210K0FKEDHP       TopLayer RESC1005X40X25LL05T10     2852.986      2439.715      90       ""                                                                                                                                           
R52        CRCW040210K0FKEDHP       TopLayer RESC1005X40X25LL05T10     2779.182      2439.716      90       ""                                                                                                                                           
R51        CRCW040210K0FKEDHP       TopLayer RESC1005X40X25LL05T10     2704.379      2439.716      90       ""                                                                                                                                           
R50        RC0402FR-0720KL          TopLayer RESC1005X40X25LL05T10     2039.370      2883.858      90       ""                                                                                                                                           
